ident,type,name,latitude_deg,longitude_deg,iata_code
ID-0112,small_airport,Omban Airstrip,-4.369376,140.392464,
ID-0113,small_airport,Onondowa/Rampi Airport,-2.125992,120.297659,
ID-0114,small_airport,Pagai Lumber Airstrip,-2.857831,100.214446,
ID-0115,small_airport,Pagai Airstrip,-3.53756,139.78195,
ID-0116,small_airport,Panggema/Hasan Airport,-4.135396,139.377151,
ID-0117,small_airport,Papasena Airstrip,-2.915,138.5876,
ID-0118,small_airport,Pass Valley Airstrip,-3.85876,139.100268,
ID-0119,small_airport,Piramid Airstrip,-3.901493,138.764276,
ID-0120,small_airport,Pit River Airstrip,-3.9819,138.5338,
ID-0121,small_airport,Pogapa Airstrip,-3.752,136.8457,
ID-0122,small_airport,Polimo Airstrip,-4.219223,139.034607,
ID-0123,small_airport,Poga Airstrip,-3.801567,138.587449,
ID-0124,small_airport,Prongkoli Airstrip,-4.188308,139.342232,
ID-0126,small_airport,Puldamat Airport,-4.3196,139.8704,
ID-0128,small_airport,Riam Sejawak Airstrip,0.971027,111.097823,
ID-0129,small_airport,Ros Bori Airstrip,-1.6586,136.102,
ID-0130,small_airport,Samboka Airstrip,-4.836839,139.714615,
ID-0131,small_airport,Sape Airstrip,-4.7655,140.5054,
ID-0133,small_airport,Sela Airstrip,-4.550661,139.734453,
ID-0134,small_airport,Seradala Airstrip,-4.979752,139.903489,
ID-0135,small_airport,Serimbu Airstrip,0.741,110.123,
ID-0136,small_airport,Serukam,0.797,109.3317,
ID-0137,small_airport,Sikari Airstrip,-2.761904,138.386229,
ID-0138,small_airport,Silimo Airstrip,-4.466012,138.943062,
ID-0139,small_airport,Syekh Hamzah Fansyuri Airport,2.269614,97.967863,FSH
ID-0141,small_airport,Siriwo Airstrip,-3.5388,135.948971,
ID-0142,small_airport,Soba Airstrip,-4.346147,139.178814,
ID-0143,small_airport,Sumo Airstrip,-4.750469,139.353338,
ID-0144,small_airport,Suntamon Airport,-4.8083,140.1715,
ID-0145,small_airport,Sungai Tontang Airstrip,-0.731052,110.376967,
ID-0146,small_airport,Suswa Airstrip [UNUSABLE],-0.942,132.298,
ID-0147,small_airport,Synopi Airstrip,-0.842054,132.926191,
ID-0148,small_airport,Taige Airstrip,-1.3105,133.8517,
ID-0149,small_airport,Taiyeve Airstrip,-3.233344,138.445848,
ID-0150,small_airport,Takar Airstrip,-2.0375,139.113,
ID-0151,small_airport,Tangma Airstrip,-4.25981,139.046631,
ID-0152,small_airport,Tanjung Maju Airstrip,-0.7102,110.4991,
ID-0153,small_airport,Tayayi Airstrip,-3.0447,137.6217,
ID-0154,small_airport,Testega Airstrip,-1.378076,133.594204,
ID-0155,small_airport,Timepa Airstrip,-4.0047,135.7872,
ID-0156,small_airport,Turmo Airstrip,-3.273581,137.558,
ID-0157,small_airport,Waff Airstrip,-2.3307,138.7489,
ID-0158,small_airport,Walerek Airstrip,-3.993361,139.491977,
ID-0159,small_airport,Walma Airstrip,-4.217782,139.393555,
ID-0160,small_airport,Wandama Airstrip,-4.5472,138.55225,
ID-0161,small_airport,Wanggemalu Airstrip,-5.4974,139.9783,
ID-0162,small_airport,Wolo Airstrip,-3.8505,138.8603,
ID-0163,small_airport,Wunin Airstrip,-3.650771,138.554313,
ID-0164,small_airport,Yaniruma Airstrip,-5.4206,139.8197,
ID-0165,small_airport,Yapil Airstrip,-4.540447,140.565691,
