destination,restaurant_name,rating,review_count,price_level,category,restaurant_url,latitude,longitude
likupang,KADOMEYAN JO (Family Restaurant),,,,,https://www.google.com/maps/place/KADOMEYAN+JO+%28Family+Restaurant%29/data=!4m7!3m6!1s0x3287098e5791119d:0xf24dda8a673e79d5!8m2!3d1.4993588!4d124.9788458!16s%2Fg%2F11qgb8k5tb!19sChIJnRGRV44JhzIR1Xk-Z4raTfI?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
likupang,E'k Cafe n Resto,,,,,https://www.google.com/maps/place/E%27k+Cafe+n+Resto/data=!4m7!3m6!1s0x3287b1554cec56b7:0x516a925ba938b0d4!8m2!3d1.6569708!4d125.0698751!16s%2Fg%2F11ywzqs1sl!19sChIJt1bsTFWxhzIR1LA4qVuSalE?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
likupang,Casa Benedetta,,,,,https://www.google.com/maps/place/Casa+Benedetta/data=!4m7!3m6!1s0x3287a772aa1194e5:0xbf3c7a7692494196!8m2!3d1.5145453!4d124.9877584!16s%2Fg%2F11k7ljmk9z!19sChIJ5ZQRqnKnhzIRlkFJknZ6PL8?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
likupang,WARUNG MAKAN GALILEA,,,,,https://www.google.com/maps/place/WARUNG+MAKAN+GALILEA/data=!4m7!3m6!1s0x3287b1a3899d7633:0x722864ab0c554b10!8m2!3d1.6565764!4d125.0666713!16s%2Fg%2F11rtrlf6ff!19sChIJM3adiaOxhzIREEtVDKtkKHI?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
likupang,마나도 파라다이스 골프 & 리조트 | Paradise Hotel Golf & Resort,,,,,https://www.google.com/maps/place/%EB%A7%88%EB%82%98%EB%8F%84+%ED%8C%8C%EB%9D%BC%EB%8B%A4%EC%9D%B4%EC%8A%A4+%EA%B3%A8%ED%94%84+%26+%EB%A6%AC%EC%A1%B0%ED%8A%B8+%7C+Paradise+Hotel+Golf+%26+Resort/data=!4m10!3m9!1s0x3287b195e063a30d:0x67bc4f517720c53c!5m2!4m1!1i2!8m2!3d1.6734722!4d125.1208567!16s%2Fg%2F11h_4ntj1g!19sChIJDaNj4JWxhzIRPMUgd1FPvGc?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
likupang,RM. JAVA,,,,,https://www.google.com/maps/place/RM.+JAVA/data=!4m7!3m6!1s0x3287b1ec4f3fb697:0x63af6062cca123f9!8m2!3d1.6560003!4d125.1099807!16s%2Fg%2F11rfqh0r6v!19sChIJl7Y_T-yxhzIR-SOhzGJgr2M?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
likupang,SunMoon Private Resort & Villas,,,,,https://www.google.com/maps/place/SunMoon+Private+Resort+%26+Villas/data=!4m10!3m9!1s0x3287b3b5eddf8add:0x982872ddba59e3b0!5m2!4m1!1i2!8m2!3d1.6330342!4d125.1502046!16s%2Fg%2F11hz0vfpk2!19sChIJ3Yrf7bWzhzIRsONZut1yKJg?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
likupang,RM. Damai,,,,,https://www.google.com/maps/place/RM.+Damai/data=!4m7!3m6!1s0x3287b100366511a7:0x356c6ea763316343!8m2!3d1.6505343!4d125.0578722!16s%2Fg%2F11y5fsmlyz!19sChIJpxFlNgCxhzIRQ2MxY6dubDU?authuser=0&hl=id&rclk=1,1.6944075,125.0137608
danau toba,Tepi Danau Bistro,,,,,https://www.google.com/maps/place/Tepi+Danau+Bistro/data=!4m7!3m6!1s0x302e051111b888f7:0x7b92db9623ce4f01!8m2!3d2.3343426!4d99.0561066!16s%2Fg%2F11qq061hqg!19sChIJ94i4EREFLjARAU_OI5bbkns?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
danau toba,Damar Toba ~ Lakeside Eatery & Stay,,,,,https://www.google.com/maps/place/Damar+Toba+~+Lakeside+Eatery+%26+Stay/data=!4m10!3m9!1s0x302e059cbc693a77:0x58c5d9d42c4dcdbd!5m2!4m1!1i2!8m2!3d2.3404454!4d99.0505864!16s%2Fg%2F11sg7xf7p8!19sChIJdzppvJwFLjARvc1NLNTZxVg?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
danau toba,Biwa Cafe & Resto,,,,,https://www.google.com/maps/place/Biwa+Cafe+%26+Resto/data=!4m7!3m6!1s0x3031eb4e62d2396d:0x20f325063084a697!8m2!3d2.6954487!4d98.922933!16s%2Fg%2F11h53pd07y!19sChIJbTnSYk7rMTARl6aEMAYl8yA?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
danau toba,LEO'S Restaurant,,,,,https://www.google.com/maps/place/LEO%27S+Restaurant/data=!4m7!3m6!1s0x3031ea174d1822f1:0x7102dea2d7f8556!8m2!3d2.6766427!4d98.8531013!16s%2Fg%2F11c6168kh0!19sChIJ8SIYTRfqMTARVoV_LeotEAc?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
danau toba,Damasus Nataboan Resto,,,,,https://www.google.com/maps/place/Damasus+Nataboan+Resto/data=!4m7!3m6!1s0x3031ebf58620c2d7:0xc7cb15ac79f73dcf!8m2!3d2.6919499!4d98.9198514!16s%2Fg%2F11c5h45lpx!19sChIJ18IghvXrMTARzz33eawVy8c?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
