Nama_Penginapan,Latitude,Longitude,Kategori
Nune Homestay,-8.8860713,116.2749536,guest_house
xanadu,-8.8884532,116.2782141,guest_house
Jati,-8.8886469,116.2779502,guest_house
Spear Beach,-8.9093882,116.343582,guest_house
Surf Camp 79,-8.8785304,116.276544,hostel
Tide & Tribe Hostel,-8.891504,116.2900233,hostel
niwa,-8.8790581,116.27488,guest_house
Grand Kuta,-8.8794129,116.2739571,hotel
Rewa Homestay,-8.8900866,116.2779134,guest_house
Sayang Bungalows,-8.8882081,116.2779374,guest_house
The Spot,-8.8851645,116.2777098,guest_house
Tunak Resort,-8.9387942,116.3710111,hotel
Alfa Kuta,-8.8826752,116.2822495,hotel
Trytan Gerupuk Homestay,-8.9115475,116.343023,hotel
Porter Hotel,-8.8776666,116.2697506,hotel
Lobster Bay Lombok,-8.9024206,116.3867791,hotel
Nativo,-8.8900031,116.2800993,hotel
