K,K-Means,Hierarchical,K-Medoids
2,0.2003787667087677,0.19584030753910725,0.282849822605253
3,0.22346938727357862,0.22346938727357862,0.21228522054463808
4,0.22724266811939464,0.21355063229728266,0.04691732717085058
5,0.22112092628266194,0.20055809497660593,-0.020955308032459687
6,0.17408211081939878,0.1700700080717126,-0.006113476009793772
7,0.1243916085760842,0.1243916085760842,0.05883441313896667
8,0.10434205386699628,0.10434205386699628,0.010476963516437903
9,0.04160724627862014,0.04160724627862014,0.0041319710919188206
